82,1
83,2
84,6
85,10
86,8
87,11
88,8
89,7
90,5
91,7
92,6
93,4
94,10
95,11
96,14
97,11
98,10
99,7
100,7
101,13
102,12
103,8
104,7
105,15
106,8
107,8
108,11
109,6
110,7
111,6
112,12
113,19
114,5
115,19
116,19
117,21
118,17
119,23
120,20
121,23
122,16
123,20
124,22
125,23
126,33
127,31
128,26
129,30
130,58
131,44
132,39
133,40
134,33
135,38
136,47
137,39
138,43
139,43
140,54
141,50
142,66
143,58
144,62
145,65
146,104
147,91
148,88
149,121
150,102
151,102
152,101
153,115
154,111
155,107
156,112
157,133
158,107
159,110
160,132
161,132
162,124
163,132
164,130
165,132
166,146
167,151
168,142
169,149
170,142
171,165
172,160
173,177
174,152
175,172
176,186
177,179
178,163
179,186
180,189
181,196
182,195
183,172
184,222
185,224
186,234
187,209
188,224
189,212
190,244
191,215
192,234
193,240
194,266
195,276
196,227
197,255
198,258
199,254
200,263
201,233
202,254
203,270
204,242
205,270
206,287
207,280
208,304
209,379
210,383
211,530
212,685
213,947
214,1193
215,1751
216,2048
217,2257
218,2395
219,2497
220,2553
221,2775
222,2768
223,2837
224,2830
225,2793
226,2782
227,2737
228,2808
229,2825
230,2814
231,2897
232,2806
233,2907
234,2819
235,3036
236,3018
237,3053
238,3006
239,3202
240,3259
241,3366
242,3543
243,3671
244,3843
245,4002
246,4133
247,4329
248,4425
249,4606
250,4768
251,5218
252,5305
253,5485
254,5751
255,5983
256,5928
257,6246
258,6303
259,6567
260,6730
261,6926
262,6961
263,7210
264,7109
265,7105
266,6919
267,6987
268,6935
269,6790
270,6666
271,6379
272,6327
273,5865
274,5637
275,5186
276,4573
277,4171
278,3766
279,3658
280,3347
281,3066
282,2760
283,2642
284,2388
285,2269
286,1986
287,1806
288,1648
289,1513
290,1335
291,1229
292,1088
293,977
294,846
295,795
296,635
297,643
298,504
299,400
300,347
301,301
302,233
303,184
304,179
305,122
306,110
307,84
308,67
309,57
310,37
311,22
312,27
313,10
314,21
315,15
316,8
317,8
318,4
319,2
320,1
321,1
322,1
328,1
